161115	161115002	BABAKAN
420907	420907001	Babakan
121804	121804003	Babakan Asih
120137	120137001	Babakan Ciparay
120705	120705006	BABAKAN GEBANG
120113	120113002	Babakan Harja
460201	460201001	Babakan Loa
120704	120704004	BABAKAN LOSARI
120418	120418005	BABAKAN MADANG
121815	121815001	Babakan Penghulu
120111	120111006	Babakan Peuteuy
120420	120420010	BABAKAN RADEN
120403	120403005	BABAKAN SADENG
121814	121814002	Babakan Surabaya
120624	120624009	BABAKANCARINGIN
120625	120625011	BABAKANKARET
121104	121104002	Babakanmulya
121116	121116001	Babakanreuma
121814	121814001	Babakansari
121838	121838001	Babakansari
120620	120620005	BABAKANSARI
160614	160614019	BABAKBAWO
160614	160614020	BABAKSARI
162608	162608002	BABALAN
162618	162618004	BABAN
161010	161010014	BABAT
163831	163831001	BABAT JERAWAT
161016	161016013	BABATAGUNG
160607	160607018	BABATAN
163813	163813002	BABATAN
161011	161011013	BABATKUMPUL
120315	120315003	BABELAN KOTA
161201	161201013	BACEM
141904	141904001	Badak
160903	160903012	BADAL
160903	160903013	BADALPANDEAN
140108	140108001	Badamit
160805	160805006	BADANG
160810	160810006	BADAS
160914	160914018	BADAS
161902	161902001	BADDURIH
160719	160719011	BADEAN
160510	160510007	BADEAN
160208	160208007	BADEAN
162115	162115008	BADEGAN
162819	162819010	BADER
161203	161203006	BADER
161705	161705007	BADERAN
162501	162501002	BADERAN
161104	161104003	BADES
161906	161906009	BADUNG
162617	162617008	BADUR
161019	161019014	BADURAME
121106	121106001	Bagawat
161213	161213013	BAGI
161104	161104004	BAGO
162912	162912006	BAGO
162214	162214006	BAGO
120438	120438013	BAGOANG
120508	120508003	BAGOLO
120508	120508011	Bagolo
123103	123103001	Bagolo
160703	160703011	BAGON
161615	161615007	BAGOR KULON
161613	161613010	BAGOR WETAN
160702	160702004	BAGOREJO
160206	160206005	BAGOREJO
120315	120315001	BAHAGIA
120534	120534007	BAHARA
160108	160108002	BAIPAJUNG
161618	161618006	BAJANG
161910	161910004	BAJANG
162109	162109011	BAJANG
